File: /Users/mythezone/miniconda3/envs/simlob312/lib/python3.12/site-packages/rich/__init__.py
  Line 2099: executed 4 times, time 0.00000000 sec
  Line 2100: executed 4 times, time 0.00000000 sec
  Line 2101: executed 4 times, time 0.00000000 sec
  Line 2102: executed 4 times, time 0.00000000 sec
  Line 2103: executed 4 times, time 0.00000119 sec
  Line 2105: executed 11 times, time 0.00000000 sec
  Line 2106: executed 7 times, time 0.00000000 sec
  Line 2114: executed 7 times, time 0.00000000 sec
  Line 2115: executed 7 times, time 0.00000000 sec
  Line 2117: executed 4 times, time 0.00000000 sec
  Line 2118: executed 4 times, time 0.00000000 sec

File: <frozen _collections_abc>
  Line 105: executed 10 times, time 0.00000000 sec
  Line 106: executed 18 times, time 0.00000095 sec
  Line 107: executed 32 times, time 0.00000119 sec
  Line 108: executed 24 times, time 0.00000095 sec
  Line 109: executed 8 times, time 0.00000000 sec
  Line 111: executed 8 times, time 0.00000119 sec
  Line 113: executed 8 times, time 0.00000000 sec
  Line 114: executed 2 times, time 0.00000000 sec
  Line 290: executed 2 times, time 0.00000000 sec
