time,cash,total_value,positions
2019-01-02T10:54:12.960000,1000000.00,1000000.00,{}
2019-01-02T10:54:13.210000,1000000.00,1000000.00,{}
2019-01-02T10:54:13.340000,1000000.00,1000000.00,{}
2019-01-02T10:54:13.630000,1000000.00,1000000.00,{}
2019-01-02T10:54:17.070000,1000000.00,1000000.00,{}
2019-01-02T10:54:17.640000,1000000.00,1000000.00,{}
2019-01-02T10:54:18.100000,1000000.00,1000000.00,{}
2019-01-02T10:54:18.210000,1000000.00,1000000.00,{}
2019-01-02T10:54:22.410000,1000000.00,1000000.00,{}
2019-01-02T10:54:24.210000,1000000.00,1000000.00,{}
2019-01-02T10:54:24.250000,1000000.00,1000000.00,{}
2019-01-02T10:54:24.260000,1000000.00,1000000.00,{}
2019-01-02T10:54:24.470000,1000000.00,1000000.00,{}
2019-01-02T10:54:25.820000,1000000.00,1000000.00,{}
2019-01-02T10:54:27.510000,1000000.00,1000000.00,{}
2019-01-02T10:54:28.190000,1000000.00,1000000.00,{}
2019-01-02T10:54:28.540000,1000000.00,1000000.00,{}
2019-01-02T10:54:30.850000,1000000.00,1000000.00,{}
2019-01-02T10:54:31.410000,1000000.00,1000000.00,{}
2019-01-02T10:54:32.330000,1000000.00,1000000.00,{}
2019-01-02T10:54:32.370000,1000000.00,1000000.00,{}
2019-01-02T10:54:32.460000,1000000.00,1000000.00,{}
2019-01-02T10:54:33.010000,1000000.00,1000000.00,{}
2019-01-02T10:54:34.240000,1000000.00,1000000.00,{}
2019-01-02T10:54:35.040000,1000000.00,1000000.00,{}
2019-01-02T10:54:35.160000,1000000.00,1000000.00,{}
2019-01-02T10:54:35.490000,1000000.00,1000000.00,{}
2019-01-02T10:54:35.660000,1000000.00,1000000.00,{}
2019-01-02T10:54:38.140000,1000000.00,1000000.00,{}
2019-01-02T10:54:38.500000,1000000.00,1000000.00,{}
2019-01-02T10:54:39.780000,1000000.00,1000000.00,{}
2019-01-02T10:54:40.570000,1000000.00,1000000.00,{}
2019-01-02T10:54:42.320000,1000000.00,1000000.00,{}
2019-01-02T10:54:42.980000,1000000.00,1000000.00,{}
2019-01-02T10:54:44.460000,1000000.00,1000000.00,{}
2019-01-02T10:54:44.510000,1000000.00,1000000.00,{}
2019-01-02T10:54:46.370000,1000000.00,1000000.00,{}
2019-01-02T10:54:46.720000,1000000.00,1000000.00,{}
2019-01-02T10:54:47.640000,1000000.00,1000000.00,{}
2019-01-02T10:54:51.280000,1000000.00,1000000.00,{}
2019-01-02T10:54:51.340000,1000000.00,1000000.00,{}
2019-01-02T10:54:52.240000,1000000.00,1000000.00,{}
2019-01-02T10:54:55.530000,1000000.00,1000000.00,{}
2019-01-02T10:54:57.510000,1000000.00,1000000.00,{}
2019-01-02T10:55:00.770000,1000000.00,1000000.00,{}
2019-01-02T10:55:03.930000,1000000.00,1000000.00,{}
2019-01-02T10:55:04.180000,1000000.00,1000000.00,{}
2019-01-02T10:55:06.380000,1000000.00,1000000.00,{}
2019-01-02T10:55:08.350000,1000000.00,1000000.00,{}
2019-01-02T10:55:11.840000,1000000.00,1000000.00,{}
2019-01-02T10:55:13.190000,1000000.00,1000000.00,{}
2019-01-02T10:55:15.940000,1000000.00,1000000.00,{}
2019-01-02T10:55:19.190000,1000000.00,1000000.00,{}
2019-01-02T10:55:21.880000,1000000.00,1000000.00,{}
2019-01-02T10:55:23.330000,1000000.00,1000000.00,{}
2019-01-02T10:55:24.350000,1000000.00,1000000.00,{}
2019-01-02T10:55:24.450000,1000000.00,1000000.00,{}
2019-01-02T10:55:26.910000,1000000.00,1000000.00,{}
2019-01-02T10:55:28.350000,1000000.00,1000000.00,{}
2019-01-02T10:55:30.250000,1000000.00,1000000.00,{}
2019-01-02T10:55:30.890000,1000000.00,1000000.00,{}
2019-01-02T10:55:33.510000,1000000.00,1000000.00,{}
2019-01-02T10:55:34.380000,1000000.00,1000000.00,{}
2019-01-02T10:55:34.490000,1000000.00,1000000.00,{}
2019-01-02T10:55:35.240000,1000000.00,1000000.00,{}
2019-01-02T10:55:36.330000,1000000.00,1000000.00,{}
2019-01-02T10:55:37.840000,1000000.00,1000000.00,{}
2019-01-02T10:55:41.780000,1000000.00,1000000.00,{}
2019-01-02T10:55:42.050000,1000000.00,1000000.00,{}
2019-01-02T10:55:43.200000,1000000.00,1000000.00,{}
2019-01-02T10:55:44.190000,1000000.00,1000000.00,{}
2019-01-02T10:55:45.050000,1000000.00,1000000.00,{}
2019-01-02T10:55:50.210000,1000000.00,1000000.00,{}
2019-01-02T10:55:52.320000,1000000.00,1000000.00,{}
2019-01-02T10:55:54.180000,1000000.00,1000000.00,{}
2019-01-02T10:55:55.830000,1000000.00,1000000.00,{}
2019-01-02T10:55:59.870000,1000000.00,1000000.00,{}
2019-01-02T10:56:00.340000,1000000.00,1000000.00,{}
2019-01-02T10:56:03.260000,1000000.00,1000000.00,{}
2019-01-02T10:56:03.290000,1000000.00,1000000.00,{}
2019-01-02T10:56:05.100000,1000000.00,1000000.00,{}
2019-01-02T10:56:06.060000,1000000.00,1000000.00,{}
2019-01-02T10:56:06.130000,1000000.00,1000000.00,{}
2019-01-02T10:56:10.730000,1000000.00,1000000.00,{}
2019-01-02T10:56:10.790000,1000000.00,1000000.00,{}
2019-01-02T10:56:10.920000,1000000.00,1000000.00,{}
2019-01-02T10:56:11.010000,1000000.00,1000000.00,{}
2019-01-02T10:56:11.150000,1000000.00,1000000.00,{}
2019-01-02T10:56:11.640000,1000000.00,1000000.00,{}
2019-01-02T10:56:12.410000,1000000.00,1000000.00,{}
2019-01-02T10:56:12.900000,1000000.00,1000000.00,{}
2019-01-02T10:56:13.100000,1000000.00,1000000.00,{}
2019-01-02T10:56:14.440000,1000000.00,1000000.00,{}
2019-01-02T10:56:16.340000,1000000.00,1000000.00,{}
2019-01-02T10:56:17.270000,1000000.00,1000000.00,{}
2019-01-02T10:56:18.410000,1000000.00,1000000.00,{}
2019-01-02T10:56:20.660000,1000000.00,1000000.00,{}
2019-01-02T10:56:22.600000,1000000.00,1000000.00,{}
2019-01-02T10:56:23.720000,1000000.00,1000000.00,{}
2019-01-02T10:56:24.720000,1000000.00,1000000.00,{}
2019-01-02T10:56:24.960000,1000000.00,1000000.00,{}
2019-01-02T10:56:25.330000,1000000.00,1000000.00,{}
2019-01-02T10:56:25.340000,1000000.00,1000000.00,{}
2019-01-02T10:56:29.370000,1000000.00,1000000.00,{}
2019-01-02T10:56:31.720000,1000000.00,1000000.00,{}
2019-01-02T10:56:32.600000,1000000.00,1000000.00,{}
2019-01-02T10:56:33.880000,1000000.00,1000000.00,{}
2019-01-02T10:56:36.440000,1000000.00,1000000.00,{}
2019-01-02T10:56:36.820000,1000000.00,1000000.00,{}
2019-01-02T10:56:40.780000,1000000.00,1000000.00,{}
2019-01-02T10:56:41.520000,1000000.00,1000000.00,{}
2019-01-02T10:56:42.870000,1000000.00,1000000.00,{}
2019-01-02T10:56:47.140000,1000000.00,1000000.00,{}
2019-01-02T10:56:47.370000,1000000.00,1000000.00,{}
2019-01-02T10:56:47.560000,1000000.00,1000000.00,{}
2019-01-02T10:56:47.760000,1000000.00,1000000.00,{}
2019-01-02T10:56:48.610000,1000000.00,1000000.00,{}
2019-01-02T10:56:49.100000,1000000.00,1000000.00,{}
2019-01-02T10:56:49.930000,1000000.00,1000000.00,{}
2019-01-02T10:56:52.240000,1000000.00,1000000.00,{}
2019-01-02T10:56:52.260000,1000000.00,1000000.00,{}
2019-01-02T10:56:55.200000,1000000.00,1000000.00,{}
2019-01-02T10:56:56.050000,1000000.00,1000000.00,{}
2019-01-02T10:56:58.170000,1000000.00,1000000.00,{}
2019-01-02T10:56:58.590000,1000000.00,1000000.00,{}
2019-01-02T10:57:00.780000,1000000.00,1000000.00,{}
2019-01-02T10:57:01.380000,1000000.00,1000000.00,{}
2019-01-02T10:57:04.810000,1000000.00,1000000.00,{}
2019-01-02T10:57:06.770000,1000000.00,1000000.00,{}
2019-01-02T10:57:06.790000,1000000.00,1000000.00,{}
